frame,NOSE.X,NOSE.Y,NOSE.Z,LEFT_EYE_INNER.X,LEFT_EYE_INNER.Y,LEFT_EYE_INNER.Z,LEFT_EYE.X,LEFT_EYE.Y,LEFT_EYE.Z,LEFT_EYE_OUTER.X,LEFT_EYE_OUTER.Y,LEFT_EYE_OUTER.Z,RIGHT_EYE_INNER.X,RIGHT_EYE_INNER.Y,RIGHT_EYE_INNER.Z,RIGHT_EYE.X,RIGHT_EYE.Y,RIGHT_EYE.Z,RIGHT_EYE_OUTER.X,RIGHT_EYE_OUTER.Y,RIGHT_EYE_OUTER.Z,LEFT_EAR.X,LEFT_EAR.Y,LEFT_EAR.Z,RIGHT_EAR.X,RIGHT_EAR.Y,RIGHT_EAR.Z,MOUTH_LEFT.X,MOUTH_LEFT.Y,MOUTH_LEFT.Z,MOUTH_RIGHT.X,MOUTH_RIGHT.Y,MOUTH_RIGHT.Z,LEFT_SHOULDER.X,LEFT_SHOULDER.Y,LEFT_SHOULDER.Z,RIGHT_SHOULDER.X,RIGHT_SHOULDER.Y,RIGHT_SHOULDER.Z,LEFT_ELBOW.X,LEFT_ELBOW.Y,LEFT_ELBOW.Z,RIGHT_ELBOW.X,RIGHT_ELBOW.Y,RIGHT_ELBOW.Z,LEFT_WRIST.X,LEFT_WRIST.Y,LEFT_WRIST.Z,RIGHT_WRIST.X,RIGHT_WRIST.Y,RIGHT_WRIST.Z,LEFT_PINKY.X,LEFT_PINKY.Y,LEFT_PINKY.Z,RIGHT_PINKY.X,RIGHT_PINKY.Y,RIGHT_PINKY.Z,LEFT_INDEX.X,LEFT_INDEX.Y,LEFT_INDEX.Z,RIGHT_INDEX.X,RIGHT_INDEX.Y,RIGHT_INDEX.Z,LEFT_THUMB.X,LEFT_THUMB.Y,LEFT_THUMB.Z,RIGHT_THUMB.X,RIGHT_THUMB.Y,RIGHT_THUMB.Z,LEFT_HIP.X,LEFT_HIP.Y,LEFT_HIP.Z,RIGHT_HIP.X,RIGHT_HIP.Y,RIGHT_HIP.Z,LEFT_KNEE.X,LEFT_KNEE.Y,LEFT_KNEE.Z,RIGHT_KNEE.X,RIGHT_KNEE.Y,RIGHT_KNEE.Z,LEFT_ANKLE.X,LEFT_ANKLE.Y,LEFT_ANKLE.Z,RIGHT_ANKLE.X,RIGHT_ANKLE.Y,RIGHT_ANKLE.Z,LEFT_HEEL.X,LEFT_HEEL.Y,LEFT_HEEL.Z,RIGHT_HEEL.X,RIGHT_HEEL.Y,RIGHT_HEEL.Z,LEFT_FOOT_INDEX.X,LEFT_FOOT_INDEX.Y,LEFT_FOOT_INDEX.Z,RIGHT_FOOT_INDEX.X,RIGHT_FOOT_INDEX.Y,RIGHT_FOOT_INDEX.Z
1,0.6931765079498291,0.25156232714653015,-0.2836351990699768,0.6875097751617432,0.2371266633272171,-0.2594045102596283,0.6834366917610168,0.2373710423707962,-0.25933587551116943,0.6792729496955872,0.2374969869852066,-0.2593845725059509,0.6998792290687561,0.23638266324996948,-0.26513049006462097,0.7046332359313965,0.23574252426624298,-0.2650206685066223,0.7093932032585144,0.235306054353714,-0.2652985453605652,0.677152156829834,0.24603772163391113,-0.10861445963382721,0.7181338667869568,0.24314294755458832,-0.13834057748317719,0.6878253221511841,0.2694042921066284,-0.22699761390686035,0.7032775282859802,0.26806581020355225,-0.23476631939411163,0.6458181142807007,0.33979350328445435,0.002186803612858057,0.7584615349769592,0.3296583294868469,-0.10814967006444931,0.6340407729148865,0.4329388439655304,0.07204260677099228,0.7603529095649719,0.41376227140426636,-0.31176331639289856,0.6455655694007874,0.4720102846622467,-0.04205964133143425,0.7252131700515747,0.2940700352191925,-0.555252194404602,0.6442675590515137,0.4843982458114624,-0.06869389861822128,0.7130990028381348,0.26667675375938416,-0.6082357168197632,0.6469930410385132,0.47685953974723816,-0.11444245278835297,0.7189944982528687,0.25124895572662354,-0.6097928285598755,0.6499002575874329,0.4716784656047821,-0.06473813951015472,0.7167220115661621,0.26223433017730713,-0.5596733093261719,0.6709556579589844,0.5813599824905396,0.020875778049230576,0.7403923869132996,0.5762384533882141,-0.02058139070868492,0.6815618276596069,0.7327463626861572,0.10673288255929947,0.7754392027854919,0.7439638376235962,-0.04778818413615227,0.6965231895446777,0.8481345772743225,0.39048629999160767,0.7844675779342651,0.8861270546913147,0.15228445827960968,0.7097023725509644,0.8697350025177002,0.41002804040908813,0.7745265960693359,0.9066643118858337,0.15936702489852905,0.6637519001960754,0.898992121219635,0.2748722434043884,0.8124339580535889,0.9505390524864197,-0.008213247172534466
2,0.6848845481872559,0.25499972701072693,-0.277129590511322,0.6789395809173584,0.24049760401248932,-0.25343069434165955,0.6748150587081909,0.24116221070289612,-0.25336334109306335,0.670609176158905,0.24171800911426544,-0.2533939778804779,0.69161456823349,0.23843464255332947,-0.262919157743454,0.6966117024421692,0.23726166784763336,-0.26281943917274475,0.7016133069992065,0.2362941950559616,-0.2631074786186218,0.6702584624290466,0.2500080466270447,-0.10067929327487946,0.7123979330062866,0.24304038286209106,-0.14751940965652466,0.6811310052871704,0.27341127395629883,-0.21892325580120087,0.6968433260917664,0.2703147530555725,-0.23171654343605042,0.644976794719696,0.34186336398124695,0.014514526352286339,0.7557849287986755,0.3269308805465698,-0.12368106842041016,0.6329811811447144,0.43171605467796326,0.06911469250917435,0.7469623684883118,0.39469003677368164,-0.33309251070022583,0.6416805386543274,0.4691351056098938,-0.08655587583780289,0.7174674272537231,0.2869456708431244,-0.5625436902046204,0.6397038698196411,0.4825997054576874,-0.12189386039972305,0.7073119282722473,0.26204025745391846,-0.6135649681091309,0.6420780420303345,0.47510290145874023,-0.14947102963924408,0.7136547565460205,0.2479759305715561,-0.6179056167602539,0.6453868746757507,0.46985113620758057,-0.10202683508396149,0.7109315395355225,0.2581251561641693,-0.5679159164428711,0.6700657606124878,0.5786628723144531,0.024991344660520554,0.738611102104187,0.5740900039672852,-0.024716608226299286,0.6791174411773682,0.7302671074867249,0.10128502547740936,0.7716536521911621,0.7403815984725952,-0.05349297448992729,0.6960728764533997,0.8475663661956787,0.36517810821533203,0.7786487936973572,0.8835437297821045,0.13752630352973938,0.7096531987190247,0.870061993598938,0.38287800550460815,0.7681334614753723,0.9056424498558044,0.1442035436630249,0.6628617644309998,0.897318422794342,0.2562403976917267,0.8103543519973755,0.9460751414299011,-0.016190093010663986
3,0.6758333444595337,0.25446194410324097,-0.2409774363040924,0.6705692410469055,0.2404356449842453,-0.21664302051067352,0.6667633652687073,0.24115945398807526,-0.21658572554588318,0.6628642082214355,0.2417881339788437,-0.21662864089012146,0.6826010346412659,0.23824730515480042,-0.2265961468219757,0.6874018907546997,0.2370789796113968,-0.22654485702514648,0.6922135353088379,0.23610706627368927,-0.22685757279396057,0.6636320352554321,0.2504819333553314,-0.07209425419569016,0.7031141519546509,0.24304866790771484,-0.11971380561590195,0.6728940010070801,0.2730769217014313,-0.18671955168247223,0.6877781748771667,0.26999950408935547,-0.19983847439289093,0.639102041721344,0.3467429280281067,0.0305536687374115,0.7472245097160339,0.32575705647468567,-0.0978897362947464,0.6259998679161072,0.43643319606781006,0.07184574007987976,0.740060031414032,0.39823850989341736,-0.31498029828071594,0.6360811591148376,0.4738979935646057,-0.09548096358776093,0.7141338586807251,0.28932732343673706,-0.5281760096549988,0.6352442502975464,0.48608487844467163,-0.1326819658279419,0.7051863670349121,0.261618047952652,-0.5752337574958801,0.6367022395133972,0.47802504897117615,-0.15935206413269043,0.7115586400032043,0.24916395545005798,-0.5792146325111389,0.6392756104469299,0.47296178340911865,-0.11105748265981674,0.7085402011871338,0.26022106409072876,-0.5330297350883484,0.6642523407936096,0.578279435634613,0.01919589377939701,0.7318516373634338,0.5715633630752563,-0.019010314717888832,0.6745789647102356,0.7314614653587341,0.06678684800863266,0.7683186531066895,0.7394712567329407,-0.05634470656514168,0.6956608295440674,0.8491010665893555,0.3217173218727112,0.7725497484207153,0.8834917545318604,0.13474658131599426,0.7090615034103394,0.8716323971748352,0.33856555819511414,0.75920170545578,0.9070869088172913,0.1418016254901886,0.6640908718109131,0.8987571001052856,0.21805572509765625,0.8116127252578735,0.941907525062561,-0.010360555723309517
4,0.6700074672698975,0.25429773330688477,-0.20547589659690857,0.6650835275650024,0.24021343886852264,-0.17934444546699524,0.6611961722373962,0.240778848528862,-0.17927423119544983,0.6572006344795227,0.2412196695804596,-0.17924764752388,0.6775754690170288,0.2382436841726303,-0.1931455284357071,0.6824997067451477,0.23708555102348328,-0.19303831458091736,0.68744295835495,0.2361641824245453,-0.19332678616046906,0.6572990417480469,0.2497931569814682,-0.024329770356416702,0.698509693145752,0.24306616187095642,-0.08278531581163406,0.6663597822189331,0.27288562059402466,-0.14566057920455933,0.6812593340873718,0.2699359357357025,-0.162053644657135,0.633537769317627,0.34559404850006104,0.08072763681411743,0.7427703142166138,0.3210603892803192,-0.06320486962795258,0.626542329788208,0.4331904351711273,0.03061496838927269,0.7508165836334229,0.3966306149959564,-0.27151426672935486,0.617050290107727,0.4572615325450897,-0.2533864378929138,0.7036029100418091,0.300957590341568,-0.45056289434432983,0.6087641716003418,0.4708724319934845,-0.3090739846229553,0.6894626617431641,0.27842745184898376,-0.4963706135749817,0.6101891398429871,0.45898666977882385,-0.32731932401657104,0.6918725967407227,0.26590925455093384,-0.49808448553085327,0.6160715818405151,0.45370155572891235,-0.2686166763305664,0.6912024617195129,0.27531784772872925,-0.4522984027862549,0.6592811346054077,0.5740677714347839,0.025178182870149612,0.7276721596717834,0.5679041743278503,-0.024957817047834396,0.6701013445854187,0.7258409857749939,0.07093919068574905,0.7627055644989014,0.7348912954330444,-0.057959288358688354,0.6954658031463623,0.8503706455230713,0.3126790225505829,0.7708797454833984,0.8816460371017456,0.12395384162664413,0.7090761661529541,0.8743821978569031,0.3265753388404846,0.7588608860969543,0.9076555371284485,0.13012754917144775,0.6646867394447327,0.8974317312240601,0.1989814043045044,0.8107163906097412,0.934786856174469,-0.020602693781256676
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
