frame,NOSE.X,NOSE.Y,NOSE.Z,LEFT_EYE_INNER.X,LEFT_EYE_INNER.Y,LEFT_EYE_INNER.Z,LEFT_EYE.X,LEFT_EYE.Y,LEFT_EYE.Z,LEFT_EYE_OUTER.X,LEFT_EYE_OUTER.Y,LEFT_EYE_OUTER.Z,RIGHT_EYE_INNER.X,RIGHT_EYE_INNER.Y,RIGHT_EYE_INNER.Z,RIGHT_EYE.X,RIGHT_EYE.Y,RIGHT_EYE.Z,RIGHT_EYE_OUTER.X,RIGHT_EYE_OUTER.Y,RIGHT_EYE_OUTER.Z,LEFT_EAR.X,LEFT_EAR.Y,LEFT_EAR.Z,RIGHT_EAR.X,RIGHT_EAR.Y,RIGHT_EAR.Z,MOUTH_LEFT.X,MOUTH_LEFT.Y,MOUTH_LEFT.Z,MOUTH_RIGHT.X,MOUTH_RIGHT.Y,MOUTH_RIGHT.Z,LEFT_SHOULDER.X,LEFT_SHOULDER.Y,LEFT_SHOULDER.Z,RIGHT_SHOULDER.X,RIGHT_SHOULDER.Y,RIGHT_SHOULDER.Z,LEFT_ELBOW.X,LEFT_ELBOW.Y,LEFT_ELBOW.Z,RIGHT_ELBOW.X,RIGHT_ELBOW.Y,RIGHT_ELBOW.Z,LEFT_WRIST.X,LEFT_WRIST.Y,LEFT_WRIST.Z,RIGHT_WRIST.X,RIGHT_WRIST.Y,RIGHT_WRIST.Z,LEFT_PINKY.X,LEFT_PINKY.Y,LEFT_PINKY.Z,RIGHT_PINKY.X,RIGHT_PINKY.Y,RIGHT_PINKY.Z,LEFT_INDEX.X,LEFT_INDEX.Y,LEFT_INDEX.Z,RIGHT_INDEX.X,RIGHT_INDEX.Y,RIGHT_INDEX.Z,LEFT_THUMB.X,LEFT_THUMB.Y,LEFT_THUMB.Z,RIGHT_THUMB.X,RIGHT_THUMB.Y,RIGHT_THUMB.Z,LEFT_HIP.X,LEFT_HIP.Y,LEFT_HIP.Z,RIGHT_HIP.X,RIGHT_HIP.Y,RIGHT_HIP.Z,LEFT_KNEE.X,LEFT_KNEE.Y,LEFT_KNEE.Z,RIGHT_KNEE.X,RIGHT_KNEE.Y,RIGHT_KNEE.Z,LEFT_ANKLE.X,LEFT_ANKLE.Y,LEFT_ANKLE.Z,RIGHT_ANKLE.X,RIGHT_ANKLE.Y,RIGHT_ANKLE.Z,LEFT_HEEL.X,LEFT_HEEL.Y,LEFT_HEEL.Z,RIGHT_HEEL.X,RIGHT_HEEL.Y,RIGHT_HEEL.Z,LEFT_FOOT_INDEX.X,LEFT_FOOT_INDEX.Y,LEFT_FOOT_INDEX.Z,RIGHT_FOOT_INDEX.X,RIGHT_FOOT_INDEX.Y,RIGHT_FOOT_INDEX.Z
1,0.39979538321495056,0.2856442630290985,-0.1509520560503006,0.4001851975917816,0.27441728115081787,-0.14992974698543549,0.4000471234321594,0.27395230531692505,-0.14989779889583588,0.4000495970249176,0.2733667492866516,-0.14993168413639069,0.3997386395931244,0.2763006389141083,-0.15722410380840302,0.3993200957775116,0.2768106460571289,-0.15713457763195038,0.3988930583000183,0.2774146795272827,-0.15714700520038605,0.40126800537109375,0.2805872857570648,-0.11717311292886734,0.39870619773864746,0.28522491455078125,-0.14720518887043,0.40135112404823303,0.29815343022346497,-0.13651756942272186,0.3996357023715973,0.29975005984306335,-0.14553551375865936,0.41610708832740784,0.3683178126811981,-0.06567083299160004,0.3797840476036072,0.369437038898468,-0.1517769992351532,0.44258493185043335,0.47775018215179443,-0.04461502283811569,0.3568875193595886,0.47747108340263367,-0.1500074714422226,0.46023911237716675,0.5803163051605225,-0.12346247583627701,0.33631330728530884,0.5802643299102783,-0.2079145461320877,0.4661029875278473,0.6059747934341431,-0.14429150521755219,0.3295919895172119,0.6064581274986267,-0.23433634638786316,0.4622616767883301,0.6073938012123108,-0.16996578872203827,0.3323383927345276,0.6087751388549805,-0.2635848820209503,0.4587887227535248,0.5972052812576294,-0.13531768321990967,0.33820000290870667,0.5982236266136169,-0.22191528975963593,0.4101944863796234,0.5738298296928406,0.04838519170880318,0.3893519937992096,0.5738422274589539,-0.04788564145565033,0.40657567977905273,0.7280417084693909,0.06699380278587341,0.3717922866344452,0.7271487712860107,-0.043181534856557846,0.3959231674671173,0.8625060319900513,0.18412792682647705,0.3634651005268097,0.8758827447891235,0.07705620676279068,0.3897722065448761,0.8773054480552673,0.18806995451450348,0.3608326315879822,0.8932686448097229,0.08026070892810822,0.4105888307094574,0.914991021156311,0.09542005509138107,0.36945652961730957,0.9287325143814087,-0.02379625104367733
2,0.3926146626472473,0.2919568717479706,-0.4809193015098572,0.39582985639572144,0.2784891724586487,-0.45914459228515625,0.40013113617897034,0.27820703387260437,-0.4590648114681244,0.4047986567020416,0.27781912684440613,-0.4590074121952057,0.3841632008552551,0.27960509061813354,-0.46133390069007874,0.3784447908401489,0.27990227937698364,-0.46123990416526794,0.37320244312286377,0.28031596541404724,-0.4613482356071472,0.41209521889686584,0.2886473536491394,-0.3111748695373535,0.36813095211982727,0.29146572947502136,-0.3222357928752899,0.398997962474823,0.3083423972129822,-0.42415565252304077,0.3831492066383362,0.30943384766578674,-0.42752304673194885,0.4400801658630371,0.38075992465019226,-0.16190961003303528,0.34303921461105347,0.37542787194252014,-0.21919980645179749,0.4467533230781555,0.48188409209251404,-0.051778096705675125,0.33103013038635254,0.4717152416706085,-0.11369866132736206,0.45248517394065857,0.5706528425216675,-0.1453508585691452,0.3444535732269287,0.5724070072174072,-0.16297301650047302,0.45697885751724243,0.5960246324539185,-0.17121243476867676,0.34549322724342346,0.601098895072937,-0.18206456303596497,0.455733060836792,0.5964804887771606,-0.21591119468212128,0.35229986906051636,0.6003661751747131,-0.22091622650623322,0.4515363276004791,0.5878735780715942,-0.16650350391864777,0.354677677154541,0.5891820788383484,-0.1780954897403717,0.4198254644870758,0.5658419132232666,0.026699593290686607,0.3627607226371765,0.5652769207954407,-0.026436781510710716,0.4161476492881775,0.7166734933853149,0.07912404835224152,0.35267990827560425,0.7252238988876343,-0.02753145433962345,0.4098571836948395,0.8491341471672058,0.30676284432411194,0.34577852487564087,0.8614252805709839,0.16525530815124512,0.4015099108219147,0.8589205145835876,0.31855064630508423,0.351256787776947,0.8784487843513489,0.1731463521718979,0.4301513135433197,0.9045807719230652,0.16309848427772522,0.33716851472854614,0.9211124181747437,0.000517049920745194
3,0.38839656114578247,0.2910391092300415,-0.43593376874923706,0.39273756742477417,0.27753740549087524,-0.4147311747074127,0.39703720808029175,0.2771244943141937,-0.41469892859458923,0.4015686511993408,0.2766095697879791,-0.4146653711795807,0.38065990805625916,0.27889564633369446,-0.4165502190589905,0.3750056028366089,0.27923691272735596,-0.41643285751342773,0.37002474069595337,0.27969396114349365,-0.4164263606071472,0.4082679748535156,0.28644227981567383,-0.27031415700912476,0.3650040328502655,0.29000431299209595,-0.27934950590133667,0.3958495259284973,0.30657052993774414,-0.3808821141719818,0.3798227310180664,0.30799925327301025,-0.3836806118488312,0.43689578771591187,0.37732604146003723,-0.13594788312911987,0.33773961663246155,0.3746410310268402,-0.19656124711036682,0.4435659945011139,0.4780133068561554,-0.06552840769290924,0.32995277643203735,0.4736897349357605,-0.13149407505989075,0.44842228293418884,0.5685795545578003,-0.20733602344989777,0.3457408547401428,0.5711395740509033,-0.23839621245861053,0.4528220593929291,0.5954912304878235,-0.23964574933052063,0.34661343693733215,0.602324903011322,-0.27528396248817444,0.4507512152194977,0.5958172678947449,-0.28521987795829773,0.3561483919620514,0.5999777913093567,-0.3123396933078766,0.4463776648044586,0.5867700576782227,-0.22886279225349426,0.35876739025115967,0.5879135131835938,-0.25429487228393555,0.415107786655426,0.5643236637115479,0.02538149431347847,0.3568655252456665,0.5632756948471069,-0.025188010185956955,0.41327008605003357,0.7140316367149353,0.07178927958011627,0.3500576615333557,0.7219493985176086,-0.03406288102269173,0.4097350239753723,0.8374423384666443,0.28248369693756104,0.3451370894908905,0.8556346893310547,0.15014933049678802,0.4018942713737488,0.8498495221138,0.29442596435546875,0.349490225315094,0.8722496032714844,0.15827594697475433,0.4301452040672302,0.8891007304191589,0.1420726478099823,0.3383869528770447,0.916232705116272,-0.01118181087076664
4,0.38456106185913086,0.2894943058490753,-0.45794564485549927,0.38987433910369873,0.2761050760746002,-0.43965449929237366,0.39302346110343933,0.2756820023059845,-0.43963104486465454,0.39712655544281006,0.27515581250190735,-0.4395667016506195,0.37558192014694214,0.27760228514671326,-0.44152307510375977,0.37040776014328003,0.2780569791793823,-0.44140395522117615,0.3655812442302704,0.27863362431526184,-0.4414047300815582,0.40353941917419434,0.2851257622241974,-0.3019508719444275,0.360670268535614,0.28900793194770813,-0.3129000961780548,0.3922835886478424,0.3049198389053345,-0.40475091338157654,0.3748190999031067,0.3065505623817444,-0.40802067518234253,0.4323044419288635,0.3742128014564514,-0.17083001136779785,0.3342113494873047,0.3757799565792084,-0.23046699166297913,0.443554162979126,0.47163304686546326,-0.1181982010602951,0.32672157883644104,0.4760112464427948,-0.19596055150032043,0.44648414850234985,0.564217746257782,-0.29261231422424316,0.34514015913009644,0.5721358060836792,-0.30692487955093384,0.4517437517642975,0.5914115309715271,-0.334397554397583,0.3464025855064392,0.6050609350204468,-0.34863966703414917,0.44785016775131226,0.5932297110557556,-0.3769213557243347,0.3576192259788513,0.6019189357757568,-0.38311415910720825,0.4418201446533203,0.5832698941230774,-0.31319481134414673,0.3597932755947113,0.5885316729545593,-0.32222095131874084,0.4114209711551666,0.5629705786705017,0.025778472423553467,0.3557230532169342,0.5625333786010742,-0.025575226172804832,0.4096810221672058,0.7119438648223877,0.08270720392465591,0.34968575835227966,0.7216686010360718,-0.03698506951332092,0.40839725732803345,0.8345469236373901,0.27300822734832764,0.3448944389820099,0.8587514162063599,0.1046735867857933,0.40060001611709595,0.8513279557228088,0.2823304533958435,0.3489261269569397,0.8767014741897583,0.10857745260000229,0.4345788061618805,0.8836526274681091,0.13982507586479187,0.3406083583831787,0.915592610836029,-0.05849277973175049
5,0.3802225887775421,0.28839439153671265,-0.434116929769516,0.3895796537399292,0.27516061067581177,-0.41406241059303284,0.3906437158584595,0.27470552921295166,-0.4140455722808838,0.39433926343917847,0.27415305376052856,-0.4139949381351471,0.37209653854370117,0.2767672836780548,-0.4151723384857178,0.36722806096076965,0.2772773206233978,-0.4150428771972656,0.3625304698944092,0.27790841460227966,-0.4150466322898865,0.40109485387802124,0.2842269241809845,-0.2750067114830017,0.35826441645622253,0.2884475290775299,-0.28156164288520813,0.3906097412109375,0.3038389980792999,-0.38121408224105835,0.3715246915817261,0.3056398034095764,-0.3831813335418701,0.4309661388397217,0.37576574087142944,-0.14836035668849945,0.332057386636734,0.3776908814907074,-0.20426113903522491,0.44156450033187866,0.4749460518360138,-0.10674849897623062,0.32480037212371826,0.47935768961906433,-0.17038293182849884,0.446378618478775,0.5627478957176208,-0.2918769419193268,0.3398436903953552,0.5765799880027771,-0.2843558192253113,0.4502314627170563,0.5895453691482544,-0.33564990758895874,0.33966585993766785,0.6104468703269958,-0.32845669984817505,0.44424813985824585,0.5906419157981873,-0.37821924686431885,0.3507673442363739,0.6072658896446228,-0.36330607533454895,0.437930166721344,0.5808209180831909,-0.31317147612571716,0.3535197377204895,0.5932495594024658,-0.3006450831890106,0.4092422425746918,0.5651183724403381,0.02335527166724205,0.3528112769126892,0.5648101568222046,-0.02310900017619133,0.4088360369205475,0.7115150690078735,0.07821408659219742,0.3492882251739502,0.7226002216339111,-0.03584256023168564,0.4084523618221283,0.8332765102386475,0.2767810821533203,0.3452453315258026,0.8584132790565491,0.12845994532108307,0.40126094222068787,0.8505027294158936,0.2869289219379425,0.34866589307785034,0.8758090138435364,0.13395515084266663,0.4324468970298767,0.8805214762687683,0.1378737986087799,0.34401780366897583,0.9154236912727356,-0.040621835738420486
6,0.37696361541748047,0.2883893549442291,-0.4475516378879547,0.3852367103099823,0.27481362223625183,-0.427142858505249,0.3898078203201294,0.27426832914352417,-0.42711371183395386,0.39290767908096313,0.2736221253871918,-0.4270707964897156,0.3690073788166046,0.2767042815685272,-0.4286862909793854,0.3641135096549988,0.27733293175697327,-0.42852920293807983,0.3592934012413025,0.2780933082103729,-0.42852798104286194,0.39914000034332275,0.28390946984291077,-0.2881985008716583,0.35482680797576904,0.2891935408115387,-0.2963928282260895,0.38899120688438416,0.3039450943470001,-0.3946455121040344,0.369161456823349,0.3062133193016052,-0.39714664220809937,0.4299781322479248,0.3764743208885193,-0.16163226962089539,0.3303202986717224,0.37868133187294006,-0.21325933933258057,0.44056206941604614,0.4774790406227112,-0.10136685520410538,0.3193431496620178,0.48086488246917725,-0.1630634367465973,0.44527965784072876,0.5640237331390381,-0.25367680191993713,0.3312482237815857,0.578747034072876,-0.26079729199409485,0.4489676356315613,0.5910808444023132,-0.28924039006233215,0.3381884694099426,0.6093934178352356,-0.29516512155532837,0.44424957036972046,0.5914512276649475,-0.33217307925224304,0.34048473834991455,0.6093586087226868,-0.3360694646835327,0.43840041756629944,0.5819005966186523,-0.2740573287010193,0.34572380781173706,0.5968852639198303,-0.2793924808502197,0.40956535935401917,0.5659955739974976,0.02786524035036564,0.3531489968299866,0.5663574934005737,-0.02754911780357361,0.40984663367271423,0.7111735939979553,0.09162048250436783,0.3506086468696594,0.7234991192817688,-0.029105573892593384,0.40902766585350037,0.8310615420341492,0.3053288757801056,0.34588712453842163,0.8571709990501404,0.1412459909915924,0.40150657296180725,0.8504804372787476,0.31680893898010254,0.34821367263793945,0.8745396733283997,0.1474480926990509,0.43459615111351013,0.8756278157234192,0.1700957715511322,0.34800487756729126,0.9131133556365967,-0.029139120131731033
7,0.37536001205444336,0.28806379437446594,-0.45841312408447266,0.3824462592601776,0.2746591567993164,-0.43827277421951294,0.3876388967037201,0.27413931488990784,-0.43824419379234314,0.3924998342990875,0.27351638674736023,-0.4381985664367676,0.3680468201637268,0.2765252888202667,-0.4397850036621094,0.36332809925079346,0.27715328335762024,-0.43964123725891113,0.35864096879959106,0.2779160737991333,-0.43961605429649353,0.39800387620925903,0.2841610312461853,-0.30000969767570496,0.35402825474739075,0.28919315338134766,-0.3068177402019501,0.38647767901420593,0.3037719428539276,-0.4058193564414978,0.36785903573036194,0.30589476227760315,-0.4079170227050781,0.4281769394874573,0.37743037939071655,-0.17798306047916412,0.32848984003067017,0.37959060072898865,-0.2208295315504074,0.43950238823890686,0.47913509607315063,-0.12108566612005234,0.3176076114177704,0.48338454961776733,-0.17015144228935242,0.44456204771995544,0.568034291267395,-0.26134777069091797,0.32230865955352783,0.5829955339431763,-0.2612208425998688,0.4489215910434723,0.5957841277122498,-0.2924100458621979,0.3254026472568512,0.6130804419517517,-0.2906941771507263,0.4449795186519623,0.5970773100852966,-0.33701300621032715,0.3313165009021759,0.6151787638664246,-0.33283093571662903,0.43928417563438416,0.5879058241844177,-0.2818630039691925,0.3367512822151184,0.6032648682594299,-0.28010687232017517,0.4087487757205963,0.567448079586029,0.02517305314540863,0.35130149126052856,0.5678061246871948,-0.024906383827328682,0.40901416540145874,0.7119544744491577,0.09209804981946945,0.3495803773403168,0.7249889969825745,-0.019639531150460243,0.40921029448509216,0.8292702436447144,0.3127078413963318,0.34573763608932495,0.8571406006813049,0.1612292230129242,0.40219610929489136,0.8488442897796631,0.3253766894340515,0.34802907705307007,0.8745235204696655,0.16875240206718445,0.4329703748226166,0.8740136623382568,0.18114949762821198,0.34681621193885803,0.9127915501594543,-0.0007086284458637238
8,0.3722802698612213,0.2885087728500366,-0.4625374674797058,0.37826210260391235,0.2746874988079071,-0.44238463044166565,0.3828333020210266,0.2741285562515259,-0.4423508048057556,0.38745397329330444,0.2734691798686981,-0.442338228225708,0.3649086654186249,0.27661383152008057,-0.44452524185180664,0.36020946502685547,0.2772406041622162,-0.4443848729133606,0.35551387071609497,0.2780084013938904,-0.4443642199039459,0.39360758662223816,0.2840864062309265,-0.3009963035583496,0.35055217146873474,0.28920793533325195,-0.30901744961738586,0.38205310702323914,0.3043363690376282,-0.4084453582763672,0.36485788226127625,0.306520015001297,-0.41095954179763794,0.4256666302680969,0.37702450156211853,-0.17643475532531738,0.325203001499176,0.38052594661712646,-0.2111629992723465,0.43778595328330994,0.4789573550224304,-0.11185506731271744,0.313558965921402,0.4842356741428375,-0.1445220708847046,0.446035772562027,0.5704532265663147,-0.25136882066726685,0.3054145276546478,0.5840206742286682,-0.22150497138500214,0.4517505168914795,0.596864640712738,-0.27964848279953003,0.30093902349472046,0.6114654541015625,-0.23930077254772186,0.4499645233154297,0.5989896655082703,-0.32608866691589355,0.30062809586524963,0.6155831217765808,-0.2891067862510681,0.4439625144004822,0.5904785394668579,-0.2727397382259369,0.30843064188957214,0.6048919558525085,-0.2428084909915924,0.409158319234848,0.5681454539299011,0.025260359048843384,0.35139158368110657,0.5695770978927612,-0.024989962577819824,0.40986281633377075,0.7141335010528564,0.09040700644254684,0.34999436140060425,0.726188063621521,-0.019408777356147766,0.4084239602088928,0.8278856873512268,0.3137928545475006,0.34611666202545166,0.8548722863197327,0.16222026944160461,0.40106362104415894,0.8464023470878601,0.32650864124298096,0.3481351435184479,0.8712356686592102,0.16991356015205383,0.4325617253780365,0.8749114871025085,0.18015989661216736,0.34677571058273315,0.9120743870735168,0.0003064376360271126
9,0.37257978320121765,0.2920840382575989,-0.4660201668739319,0.37802571058273315,0.2777319848537445,-0.44777435064315796,0.38239625096321106,0.2771361768245697,-0.4477331042289734,0.38686832785606384,0.2764396071434021,-0.44773393869400024,0.36496594548225403,0.27958929538726807,-0.45144137740135193,0.36027026176452637,0.28013163805007935,-0.45130977034568787,0.3555753827095032,0.2808159291744232,-0.45128878951072693,0.39243197441101074,0.2860775291919708,-0.30752596259117126,0.3499467372894287,0.29104503989219666,-0.32375073432922363,0.3815838694572449,0.30755698680877686,-0.4113956391811371,0.3650049865245819,0.3096481263637543,-0.4159535765647888,0.42353901267051697,0.37677839398384094,-0.17241418361663818,0.3231066167354584,0.37987470626831055,-0.21909160912036896,0.4351373612880707,0.4791303873062134,-0.10580763965845108,0.31013840436935425,0.48240533471107483,-0.14449338614940643,0.44558095932006836,0.5708858966827393,-0.24502868950366974,0.30134665966033936,0.5821159482002258,-0.2173583209514618,0.45233631134033203,0.5966271162033081,-0.2733527421951294,0.29616740345954895,0.6077699065208435,-0.23018109798431396,0.4516879916191101,0.5995004773139954,-0.320624977350235,0.2954060435295105,0.6136680841445923,-0.28354504704475403,0.4451747536659241,0.5915213823318481,-0.26695966720581055,0.303122878074646,0.6045034527778625,-0.23929114639759064,0.4054369032382965,0.5696840286254883,0.026622751727700233,0.3480542302131653,0.5711368918418884,-0.026383638381958008,0.4081936776638031,0.7145459055900574,0.09074334055185318,0.3469659686088562,0.7276223301887512,-0.025304991751909256,0.4078388810157776,0.8274441957473755,0.31758707761764526,0.344827264547348,0.8564395904541016,0.15380077064037323,0.40080589056015015,0.8471548557281494,0.3303799629211426,0.3473604917526245,0.874130368232727,0.16106614470481873,0.4327917695045471,0.8700093626976013,0.18985851109027863,0.3429723381996155,0.9101029634475708,-0.0028328627813607454
10,0.36701658368110657,0.2905384600162506,-0.4574541449546814,0.3722706139087677,0.2763238549232483,-0.4391136169433594,0.37653571367263794,0.2756486237049103,-0.4390683174133301,0.38091394305229187,0.27487245202064514,-0.43907037377357483,0.3594622015953064,0.2784149944782257,-0.4416719973087311,0.35487237572669983,0.27902963757514954,-0.4415441155433655,0.3502829074859619,0.2797929346561432,-0.44151735305786133,0.38666388392448425,0.28441494703292847,-0.29887208342552185,0.3449437916278839,0.2900346517562866,-0.31031087040901184,0.37608152627944946,0.30573225021362305,-0.4029163718223572,0.3597947955131531,0.30811622738838196,-0.40626925230026245,0.4194229543209076,0.37536948919296265,-0.16369885206222534,0.31893691420555115,0.37888070940971375,-0.20537924766540527,0.4328230023384094,0.47718727588653564,-0.08565829694271088,0.30599308013916016,0.47949934005737305,-0.12431148439645767,0.4427984356880188,0.5709441900253296,-0.2082178145647049,0.2973269522190094,0.5802303552627563,-0.2074628621339798,0.4493061900138855,0.5971397757530212,-0.2338830530643463,0.2921654284000397,0.6061037182807922,-0.224638432264328,0.44792884588241577,0.6003599166870117,-0.28188925981521606,0.2921435236930847,0.6121165752410889,-0.2765621542930603,0.44142287969589233,0.5920135974884033,-0.2297249734401703,0.2999168336391449,0.6034308671951294,-0.2294251173734665,0.4013757109642029,0.5695745944976807,0.026757031679153442,0.34375837445259094,0.5718128681182861,-0.02653561905026436,0.40628910064697266,0.712235152721405,0.09304213523864746,0.3449815809726715,0.7288090586662292,-0.026636680588126183,0.4070032238960266,0.8250877857208252,0.3330170810222626,0.345126211643219,0.8575099110603333,0.15846605598926544,0.40012073516845703,0.8444204926490784,0.3474380075931549,0.3484824299812317,0.8749110102653503,0.16672435402870178,0.4311128258705139,0.8690794706344604,0.20709869265556335,0.3414866328239441,0.9121896624565125,0.0023603453300893307
